,Total,Margin of Error,Percent,Margin of Error
UNITED STATES,"2,090",38,2.7,Z
ALABAMA,21,4,1.8,0.3
ALASKA,7,2,3.5,0.9
ARIZONA,78,7,4.6,0.4
ARKANSAS,18,3,2.5,0.4
CALIFORNIA,147,9,1.6,0.1
COLORADO,26,4,2.0,0.3
CONNECTICUT,8,2,1.1,0.3
DELAWARE,3,1,1.4,0.7
DISTRICT OF COLUMBIA,Z,Z,0.1,0.1
FLORIDA,179,12,4.1,0.3
GEORGIA,120,11,4.6,0.4
HAWAII,2,1,0.7,0.3
IDAHO,7,2,1.5,0.4
ILLINOIS,46,5,1.5,0.2
INDIANA,59,7,3.6,0.4
IOWA,12,3,1.6,0.4
KANSAS,23,3,3.1,0.5
KENTUCKY,22,4,2.1,0.4
LOUISIANA,21,4,1.8,0.3
MAINE,5,1,2.0,0.4
MARYLAND,23,4,1.7,0.3
MASSACHUSETTS,7,2,0.5,0.1
MICHIGAN,34,4,1.5,0.2
MINNESOTA,22,3,1.6,0.2
MISSISSIPPI,21,4,2.8,0.5
MISSOURI,46,5,3.3,0.3
MONTANA,7,2,3.0,0.8
NEBRASKA,15,3,3.1,0.6
NEVADA,31,5,4.4,0.7
NEW HAMPSHIRE,2,1,0.8,0.4
NEW JERSEY,40,6,2.0,0.3
NEW MEXICO,16,3,3.2,0.5
NEW YORK,57,7,1.3,0.2
NORTH CAROLINA,66,7,2.8,0.3
NORTH DAKOTA,6,2,3.5,0.9
OHIO,70,8,2.6,0.3
OKLAHOMA,42,4,4.3,0.4
OREGON,18,3,2.0,0.3
PENNSYLVANIA,68,8,2.5,0.3
RHODE ISLAND,3,1,1.3,0.5
SOUTH CAROLINA,36,5,3.1,0.4
SOUTH DAKOTA,6,2,3.0,0.7
TENNESSEE,40,5,2.5,0.3
TEXAS,462,18,6.0,0.2
UTAH,38,5,4.0,0.5
VERMONT,1,1,0.8,0.5
VIRGINIA,51,6,2.6,0.3
WASHINGTON,17,3,1.0,0.2
WEST VIRGINIA,5,1,1.3,0.4
WISCONSIN,28,3,2.1,0.3
WYOMING,8,3,5.4,1.8
