,Total,Margin of Error,Percent,Margin of Error
UNITED STATES,"2,110",35,2.8,0.0
ALABAMA,25,4,2.2,0.4
ALASKA,6,2,3.4,0.8
ARIZONA,79,7,4.6,0.4
ARKANSAS,16,3,2.2,0.4
CALIFORNIA,146,10,1.6,0.1
COLORADO,28,5,2.2,0.4
CONNECTICUT,8,3,1.1,0.3
DELAWARE,4,2,2.1,0.8
DISTRICT OF COLUMBIA,1,1,1.1,1.0
FLORIDA,174,11,3.9,0.3
GEORGIA,130,11,5.0,0.4
HAWAII,4,2,1.1,0.5
IDAHO,14,3,3.0,0.6
ILLINOIS,48,6,1.6,0.2
INDIANA,56,7,3.5,0.4
IOWA,10,2,1.4,0.3
KANSAS,22,3,3.0,0.5
KENTUCKY,23,4,2.2,0.4
LOUISIANA,21,4,1.8,0.3
MAINE,6,2,2.4,0.6
MARYLAND,22,4,1.6,0.3
MASSACHUSETTS,8,2,0.6,0.2
MICHIGAN,38,5,1.7,0.2
MINNESOTA,20,3,1.5,0.2
MISSISSIPPI,21,3,2.9,0.4
MISSOURI,44,5,3.1,0.4
MONTANA,7,2,3.1,0.7
NEBRASKA,13,2,2.6,0.5
NEVADA,28,4,3.9,0.6
NEW HAMPSHIRE,2,1,0.8,0.4
NEW JERSEY,45,6,2.2,0.3
NEW MEXICO,14,3,2.9,0.6
NEW YORK,52,6,1.2,0.1
NORTH CAROLINA,67,8,2.8,0.3
NORTH DAKOTA,5,1,2.7,0.7
OHIO,74,8,2.8,0.3
OKLAHOMA,41,4,4.1,0.4
OREGON,17,3,1.9,0.4
PENNSYLVANIA,58,6,2.1,0.2
RHODE ISLAND,2,1,0.8,0.6
SOUTH CAROLINA,31,5,2.7,0.4
SOUTH DAKOTA,8,2,3.5,0.8
TENNESSEE,51,5,3.3,0.3
TEXAS,478,20,6.2,0.3
UTAH,39,6,4.0,0.6
VERMONT,1,1,0.6,0.4
VIRGINIA,48,5,2.5,0.3
WASHINGTON,18,3,1.0,0.2
WEST VIRGINIA,8,3,2.2,0.7
WISCONSIN,25,3,1.9,0.2
WYOMING,4,1,3.0,0.8
