,Total,Margin of Error,Percent,Margin of Error
UNITED STATES,"2,283",37,3.0,0.0
ALABAMA,24,4,2.1,0.3
ALASKA,8,1,3.9,0.7
ARIZONA,99,8,5.9,0.5
ARKANSAS,27,4,3.7,0.5
CALIFORNIA,193,12,2.0,0.1
COLORADO,27,4,2.1,0.3
CONNECTICUT,12,3,1.6,0.4
DELAWARE,3,2,1.6,0.7
DISTRICT OF COLUMBIA,1,1,0.6,0.6
FLORIDA,195,11,4.6,0.2
GEORGIA,127,10,4.9,0.4
HAWAII,2,1,0.8,0.2
IDAHO,13,2,2.9,0.5
ILLINOIS,44,4,1.4,0.1
INDIANA,68,7,4.2,0.5
IOWA,15,3,2.1,0.4
KANSAS,23,4,3.1,0.6
KENTUCKY,26,4,2.5,0.4
LOUISIANA,29,4,2.5,0.3
MAINE,7,1,2.8,0.5
MARYLAND,27,4,2.0,0.3
MASSACHUSETTS,7,2,0.5,0.1
MICHIGAN,44,4,1.9,0.2
MINNESOTA,21,4,1.6,0.3
MISSISSIPPI,20,3,2.7,0.4
MISSOURI,58,6,4.1,0.4
MONTANA,11,2,4.7,0.9
NEBRASKA,17,3,3.4,0.6
NEVADA,33,4,4.8,0.6
NEW HAMPSHIRE,3,1,1.1,0.5
NEW JERSEY,45,5,2.2,0.3
NEW MEXICO,18,3,3.4,0.6
NEW YORK,61,6,1.4,0.1
NORTH CAROLINA,70,6,3.0,0.3
NORTH DAKOTA,6,2,3.6,1.0
OHIO,73,7,2.7,0.3
OKLAHOMA,45,4,4.5,0.4
OREGON,18,3,2.1,0.3
PENNSYLVANIA,66,6,2.4,0.2
RHODE ISLAND,6,2,2.6,0.9
SOUTH CAROLINA,25,4,2.2,0.3
SOUTH DAKOTA,9,2,4.3,1.0
TENNESSEE,44,5,2.9,0.3
TEXAS,450,20,6.0,0.3
UTAH,42,5,4.4,0.6
VERMONT,Z,Z,0.3,0.2
VIRGINIA,55,7,2.9,0.4
WASHINGTON,21,4,1.2,0.2
WEST VIRGINIA,5,2,1.3,0.4
WISCONSIN,29,3,2.2,0.2
WYOMING,6,2,4.2,1.2
