,Number,Margin of error,Percent,Margin of error
United States,"2,222",45,2.9,0.1
Alabama,22,3,2.0,0.3
Alaska,4,1,2.1,0.5
Arizona,88,9,5.2,0.5
Arkansas,27,5,3.8,0.6
California,149,11,1.6,0.1
Colorado,32,5,2.5,0.4
Connecticut,11,3,1.4,0.4
Delaware,4,2,2.2,1.0
District of Columbia,1,1,1.0,0.6
Florida,176,13,4.0,0.3
Georgia,114,11,4.4,0.4
Hawaii,2,1,0.7,0.3
Idaho,12,3,2.5,0.6
Illinois,61,7,2.1,0.2
Indiana,58,7,3.6,0.4
Iowa,11,2,1.4,0.3
Kansas,25,4,3.5,0.6
Kentucky,22,3,2.2,0.3
Louisiana,22,4,1.9,0.3
Maine,7,2,2.7,0.8
Maryland,19,4,1.4,0.3
Massachusetts,6,2,0.4,0.1
Michigan,44,6,2.0,0.3
Minnesota,19,4,1.4,0.3
Mississippi,26,4,3.5,0.5
Missouri,56,6,4.0,0.4
Montana,7,1,3.2,0.6
Nebraska,15,4,3.2,0.7
Nevada,29,5,4.1,0.6
New Hampshire,4,2,1.5,0.6
New Jersey,47,7,2.3,0.3
New Mexico,16,3,3.3,0.7
New York,44,5,1.1,0.1
North Carolina,69,7,2.9,0.3
North Dakota,5,2,2.9,1.1
Ohio,69,7,2.6,0.3
Oklahoma,44,5,4.5,0.5
Oregon,16,4,1.8,0.4
Pennsylvania,64,7,2.4,0.3
Rhode Island,3,1,1.3,0.7
South Carolina,40,6,3.5,0.5
South Dakota,9,3,4.0,1.1
Tennessee,45,6,2.9,0.4
Texas,531,22,6.9,0.3
Utah,42,5,4.3,0.5
Vermont,2,1,1.3,0.6
Virginia,40,5,2.1,0.3
Washington,23,5,1.4,0.3
West Virginia,6,2,1.6,0.5
Wisconsin,26,3,2.0,0.3
Wyoming,6,2,4.7,1.4
